carrier;carrier_name;airport;airport_name;arr_flights;arr_del15; arr_delay;arr_cancelled;;;;Legtöbb járat szám;;;;;;;;;;;
YV;Mesa Airlines Inc.;BDL;Hartford; CT: Bradley International;105;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BFL;Bakersfield; CA: Meadows Field;103;0;24;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;149;0;44699;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BIS;Bismarck/Mandan; ND: Bismarck Municipal;45;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BMI;Bloomington/Normal; IL: Central Il Regional Airport at Bloomington;57;0;15;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BNA;Nashville; TN: Nashville International;111;0;9;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BOS;Boston; MA: Logan International;15;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BRO;Brownsville; TX: Brownsville South Padre Island International;41;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;54;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BTV;Burlington; VT: Burlington International;58;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BUF;Buffalo; NY: Buffalo Niagara International;35;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BUR;Burbank; CA: Bob Hope;125;0;44674;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;BZN;Bozeman; MT: Bozeman Yellowstone International;13;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CAK;Akron; OH: Akron-Canton Regional;31;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CHA;Chattanooga; TN: Lovell Field;48;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CHS;Charleston; SC: Charleston AFB/International;128;0;11;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;27;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CLE;Cleveland; OH: Cleveland-Hopkins International;35;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CLT;Charlotte; NC: Charlotte Douglas International;194;0;12;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CMH;Columbus; OH: John Glenn Columbus International;115;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;COS;Colorado Springs; CO: City of Colorado Springs Municipal;6;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;COU;Columbia; MO: Columbia Regional;47;1;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CRP;Corpus Christi; TX: Corpus Christi International;110;0;19;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;82;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;DAY;Dayton; OH: James M Cox/Dayton International;45;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;DCA;Washington; DC: Ronald Reagan Washington National;90;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;3333;17;500;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;DRO;Durango; CO: Durango La Plata County;172;0;31;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;DSM;Des Moines; IA: Des Moines International;30;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;203;0;8;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ECP;Panama City; FL: Northwest Florida Beaches International;78;0;17;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ELP;El Paso; TX: El Paso International;374;2;40;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FAT;Fresno; CA: Fresno Yosemite International;60;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FLG;Flagstaff; AZ: Flagstaff Pulliam;29;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;13;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FSD;Sioux Falls; SD: Joe Foss Field;131;0;25;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FSM;Fort Smith; AR: Fort Smith Regional;45;0;11;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GJT;Grand Junction; CO: Grand Junction Regional;4;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GPT;Gulfport/Biloxi; MS: Gulfport-Biloxi International;69;0;44859;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GRR;Grand Rapids; MI: Gerald R. Ford International;15;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GSO;Greensboro/High Point; NC: Piedmont Triad International;41;0;44739;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GSP;Greer; SC: Greenville-Spartanburg International;76;0;9;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GUC;Gunnison; CO: Gunnison-Crested Butte Regional;13;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;HOU;Houston; TX: William P Hobby;152;0;28;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;HRL;Harlingen/San Benito; TX: Valley International;50;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;182;2;24;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;IAD;Washington; DC: Washington Dulles International;1659;0;139;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;3112;14;230;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;150;0;21;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;IND;Indianapolis; IN: Indianapolis International;51;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;JAN;Jackson/Vicksburg; MS: Jackson Medgar Wiley Evers International;189;1;44924;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;JAX;Jacksonville; FL: Jacksonville International;51;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;JLN;Joplin; MO: Joplin Regional;6;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LBB;Lubbock; TX: Lubbock Preston Smith International;174;0;26;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;155;1;22;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LGA;New York; NY: LaGuardia;114;0;10;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LGB;Long Beach; CA: Long Beach Airport;88;0;44923;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;35;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MAF;Midland/Odessa; TX: Midland International Air and Space Port;258;0;43;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MCI;Kansas City; MO: Kansas City International;84;0;44740;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MDT;Harrisburg; PA: Harrisburg International;19;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MEM;Memphis; TN: Memphis International;97;0;44783;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MFE;Mission/McAllen/Edinburg; TX: McAllen Miller International;118;0;13;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MHT;Manchester; NH: Manchester-Boston Regional;35;1;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MIA;Miami; FL: Miami International;2;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MKE;Milwaukee; WI: General Mitchell International;43;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MLI;Moline; IL: Quad City International;62;0;10;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MLU;Monroe; LA: Monroe Regional;28;3;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MOB;Mobile; AL: Mobile Regional;118;1;19;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MRY;Monterey; CA: Monterey Regional;100;0;20;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MSN;Madison; WI: Dane County Regional-Truax Field;47;0;14;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;134;0;11;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;22;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MTJ;Montrose/Delta; CO: Montrose Regional;44;1;44675;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;OAK;Oakland; CA: Metropolitan Oakland International;23;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;OKC;Oklahoma City; OK: Will Rogers World;351;1;36;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;OMA;Omaha; NE: Eppley Airfield;20;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ONT;Ontario; CA: Ontario International;58;0;44689;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ORF;Norfolk; VA: Norfolk International;94;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;14;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PHL;Philadelphia; PA: Philadelphia International;51;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;1605;2;256;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PIA;Peoria; IL: General Downing - Peoria International;63;0;44788;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PIT;Pittsburgh; PA: Pittsburgh International;96;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PNS;Pensacola; FL: Pensacola International;180;1;25;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PSP;Palm Springs; CA: Palm Springs International;115;1;44876;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PVD;Providence; RI: Theodore Francis Green State;66;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PWM;Portland; ME: Portland International Jetport;1;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RAP;Rapid City; SD: Rapid City Regional;73;1;14;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;63;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RIC;Richmond; VA: Richmond International;41;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RNO;Reno; NV: Reno/Tahoe International;97;3;14;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ROA;Roanoke; VA: Roanoke Blacksburg Regional Woodrum Field;19;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ROC;Rochester; NY: Greater Rochester International;55;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RSW;Fort Myers; FL: Southwest Florida International;11;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SAF;Santa Fe; NM: Santa Fe Municipal;31;0;44639;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SAT;San Antonio; TX: San Antonio International;23;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SAV;Savannah; GA: Savannah/Hilton Head International;81;0;11;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SBA;Santa Barbara; CA: Santa Barbara Municipal;31;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SDF;Louisville; KY: Louisville Muhammad Ali International;202;0;25;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SHV;Shreveport; LA: Shreveport Regional;52;0;44841;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SLC;Salt Lake City; UT: Salt Lake City International;48;2;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;31;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;STL;St. Louis; MO: St Louis Lambert International;38;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;STS;Santa Rosa; CA: Charles M. Schulz - Sonoma County;31;1;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SYR;Syracuse; NY: Syracuse Hancock International;27;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TLH;Tallahassee; FL: Tallahassee International;48;1;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TPA;Tampa; FL: Tampa International;1;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TUL;Tulsa; OK: Tulsa International;52;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TUS;Tucson; AZ: Tucson International;224;0;36;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TYS;Knoxville; TN: McGhee Tyson;95;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;42;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;XNA;Fayetteville; AR: Northwest Arkansas Regional;48;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;YUM;Yuma; AZ: Yuma MCAS/Yuma International;59;0;12;;;;;;;;;;;;;;;
YX;Republic Airline;ABQ;Albuquerque; NM: Albuquerque International Sunport;24;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;569;1;44;;;;;;;;;;;;;;;
YX;Republic Airline;AUS;Austin; TX: Austin - Bergstrom International;63;0;3;;;;;;;;;;;;;;;
YX;Republic Airline;AVL;Asheville; NC: Asheville Regional;9;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;BDL;Hartford; CT: Bradley International;94;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;BGR;Bangor; ME: Bangor International;2;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;60;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;BIL;Billings; MT: Billings Logan International;1;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;BNA;Nashville; TN: Nashville International;383;0;33;;;;;;;;;;;;;;;
YX;Republic Airline;BOS;Boston; MA: Logan International;1417;1;113;;;;;;;;;;;;;;;
YX;Republic Airline;BRO;Brownsville; TX: Brownsville South Padre Island International;6;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;12;0;44571;;;;;;;;;;;;;;;
YX;Republic Airline;BTV;Burlington; VT: Burlington International;192;1;22;;;;;;;;;;;;;;;
YX;Republic Airline;BUF;Buffalo; NY: Buffalo Niagara International;144;0;19;;;;;;;;;;;;;;;
YX;Republic Airline;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;70;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;BZN;Bozeman; MT: Bozeman Yellowstone International;2;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;CAE;Columbia; SC: Columbia Metropolitan;14;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;CHS;Charleston; SC: Charleston AFB/International;162;0;44853;;;;;;;;;;;;;;;
YX;Republic Airline;CLE;Cleveland; OH: Cleveland-Hopkins International;324;0;17;;;;;;;;;;;;;;;
YX;Republic Airline;CLT;Charlotte; NC: Charlotte Douglas International;1055;0;35916;;;;;;;;;;;;;;;
YX;Republic Airline;CMH;Columbus; OH: John Glenn Columbus International;1131;2;103;;;;;;;;;;;;;;;
YX;Republic Airline;COS;Colorado Springs; CO: City of Colorado Springs Municipal;37;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;CRP;Corpus Christi; TX: Corpus Christi International;31;1;1;;;;;;;;;;;;;;;
YX;Republic Airline;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;143;1;12;;;;;;;;;;;;;;;
YX;Republic Airline;DAB;Daytona Beach; FL: Daytona Beach International;2;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;DAY;Dayton; OH: James M Cox/Dayton International;45;0;6;;;;;;;;;;;;;;;
YX;Republic Airline;DCA;Washington; DC: Ronald Reagan Washington National;2428;14;153;;;;;;;;;;;;;;;
YX;Republic Airline;DEN;Denver; CO: Denver International;650;1;34;;;;;;;;;;;;;;;
YX;Republic Airline;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;114;3;5;;;;;;;;;;;;;;;
YX;Republic Airline;DRO;Durango; CO: Durango La Plata County;20;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;DSM;Des Moines; IA: Des Moines International;102;0;8;;;;;;;;;;;;;;;
YX;Republic Airline;DTW;Detroit; MI: Detroit Metro Wayne County;699;2;18537;;;;;;;;;;;;;;;
YX;Republic Airline;ELP;El Paso; TX: El Paso International;56;0;5;;;;;;;;;;;;;;;
YX;Republic Airline;EWR;Newark; NJ: Newark Liberty International;1967;5;118;;;;;;;;;;;;;;;
YX;Republic Airline;EYW;Key West; FL: Key West International;351;4;10;;;;;;;;;;;;;;;
YX;Republic Airline;FAR;Fargo; ND: Hector International;16;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;FSD;Sioux Falls; SD: Joe Foss Field;7;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;GEG;Spokane; WA: Spokane International;12;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;GJT;Grand Junction; CO: Grand Junction Regional;39;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;GRB;Green Bay; WI: Green Bay Austin Straubel International;11;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;GRK;Killeen; TX: Robert Gray AAF;22;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;GRR;Grand Rapids; MI: Gerald R. Ford International;46;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;GSO;Greensboro/High Point; NC: Piedmont Triad International;38;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;GSP;Greer; SC: Greenville-Spartanburg International;80;0;44799;;;;;;;;;;;;;;;
YX;Republic Airline;HHH;Hilton Head; SC: Hilton Head Airport;185;6;12;;;;;;;;;;;;;;;
YX;Republic Airline;HRL;Harlingen/San Benito; TX: Valley International;2;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;26;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;HVN;New Haven; CT: Tweed New Haven;84;3;8;;;;;;;;;;;;;;;
YX;Republic Airline;IAD;Washington; DC: Washington Dulles International;311;0;31;;;;;;;;;;;;;;;
YX;Republic Airline;IAH;Houston; TX: George Bush Intercontinental/Houston;932;9;54;;;;;;;;;;;;;;;
YX;Republic Airline;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;23;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;ILM;Wilmington; NC: Wilmington International;56;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;IND;Indianapolis; IN: Indianapolis International;986;0;91;;;;;;;;;;;;;;;
YX;Republic Airline;JAX;Jacksonville; FL: Jacksonville International;363;1;24;;;;;;;;;;;;;;;
YX;Republic Airline;JFK;New York; NY: John F. Kennedy International;418;0;15;;;;;;;;;;;;;;;
YX;Republic Airline;LAN;Lansing; MI: Capital Region International;7;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;LEX;Lexington; KY: Blue Grass;53;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;LGA;New York; NY: LaGuardia;2820;5;208;;;;;;;;;;;;;;;
YX;Republic Airline;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;14;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;LNK;Lincoln; NE: Lincoln Airport;2;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;MAF;Midland/Odessa; TX: Midland International Air and Space Port;91;0;11;;;;;;;;;;;;;;;
YX;Republic Airline;MCI;Kansas City; MO: Kansas City International;554;2;34;;;;;;;;;;;;;;;
YX;Republic Airline;MCO;Orlando; FL: Orlando International;12;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;MEM;Memphis; TN: Memphis International;172;1;15;;;;;;;;;;;;;;;
YX;Republic Airline;MFE;Mission/McAllen/Edinburg; TX: McAllen Miller International;3;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;MHT;Manchester; NH: Manchester-Boston Regional;94;0;44907;;;;;;;;;;;;;;;
YX;Republic Airline;MIA;Miami; FL: Miami International;1127;0;54;;;;;;;;;;;;;;;
YX;Republic Airline;MKE;Milwaukee; WI: General Mitchell International;27;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;MSN;Madison; WI: Dane County Regional-Truax Field;52;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;MSP;Minneapolis; MN: Minneapolis-St Paul International;461;0;14124;;;;;;;;;;;;;;;
YX;Republic Airline;MSY;New Orleans; LA: Louis Armstrong New Orleans International;318;1;25;;;;;;;;;;;;;;;
YX;Republic Airline;MYR;Myrtle Beach; SC: Myrtle Beach International;47;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;OKC;Oklahoma City; OK: Will Rogers World;133;0;17;;;;;;;;;;;;;;;
YX;Republic Airline;OMA;Omaha; NE: Eppley Airfield;185;0;44582;;;;;;;;;;;;;;;
YX;Republic Airline;ORD;Chicago; IL: Chicago O'Hare International;1233;0;94;;;;;;;;;;;;;;;
YX;Republic Airline;ORF;Norfolk; VA: Norfolk International;97;0;44863;;;;;;;;;;;;;;;
YX;Republic Airline;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;55;0;3;;;;;;;;;;;;;;;
YX;Republic Airline;PHL;Philadelphia; PA: Philadelphia International;1598;0;113;;;;;;;;;;;;;;;
YX;Republic Airline;PIT;Pittsburgh; PA: Pittsburgh International;863;5;93;;;;;;;;;;;;;;;
YX;Republic Airline;PNS;Pensacola; FL: Pensacola International;20;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;PVD;Providence; RI: Theodore Francis Green State;124;0;18;;;;;;;;;;;;;;;
YX;Republic Airline;PWM;Portland; ME: Portland International Jetport;219;0;26;;;;;;;;;;;;;;;
YX;Republic Airline;RAP;Rapid City; SD: Rapid City Regional;32;0;3;;;;;;;;;;;;;;;
YX;Republic Airline;RDU;Raleigh/Durham; NC: Raleigh-Durham International;492;1;44;;;;;;;;;;;;;;;
YX;Republic Airline;RIC;Richmond; VA: Richmond International;193;0;28;;;;;;;;;;;;;;;
YX;Republic Airline;ROC;Rochester; NY: Greater Rochester International;117;0;44908;;;;;;;;;;;;;;;
YX;Republic Airline;RSW;Fort Myers; FL: Southwest Florida International;93;0;44775;;;;;;;;;;;;;;;
YX;Republic Airline;SAT;San Antonio; TX: San Antonio International;68;0;44601;;;;;;;;;;;;;;;
YX;Republic Airline;SAV;Savannah; GA: Savannah/Hilton Head International;7;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;SDF;Louisville; KY: Louisville Muhammad Ali International;549;0;53;;;;;;;;;;;;;;;
YX;Republic Airline;SEA;Seattle; WA: Seattle/Tacoma International;9;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;SLC;Salt Lake City; UT: Salt Lake City International;30;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;SMF;Sacramento; CA: Sacramento International;9;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;154;0;6;;;;;;;;;;;;;;;
YX;Republic Airline;STL;St. Louis; MO: St Louis Lambert International;283;1;25;;;;;;;;;;;;;;;
YX;Republic Airline;SYR;Syracuse; NY: Syracuse Hancock International;86;0;10;;;;;;;;;;;;;;;
YX;Republic Airline;TPA;Tampa; FL: Tampa International;3;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;TUL;Tulsa; OK: Tulsa International;30;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;TUS;Tucson; AZ: Tucson International;16;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;TVC;Traverse City; MI: Cherry Capital;2;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;TYS;Knoxville; TN: McGhee Tyson;100;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;4;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;XNA;Fayetteville; AR: Northwest Arkansas Regional;183;1;23;;;;;;;;;;;;;;;
NK;Spirit Air Lines;RDU;Raleigh/Durham; NC: Raleigh-Durham International;168;0;44911;;;;;;;;;;;;;;;
NK;Spirit Air Lines;RIC;Richmond; VA: Richmond International;62;0;2;;;;;;;;;;;;;;;
NK;Spirit Air Lines;RSW;Fort Myers; FL: Southwest Florida International;498;0;44789;;;;;;;;;;;;;;;
NK;Spirit Air Lines;SAN;San Diego; CA: San Diego International;120;0;2;;;;;;;;;;;;;;;
NK;Spirit Air Lines;SEA;Seattle; WA: Seattle/Tacoma International;117;0;2;;;;;;;;;;;;;;;
NK;Spirit Air Lines;SJU;San Juan; PR: Luis Munoz Marin International;246;0;44830;;;;;;;;;;;;;;;
NK;Spirit Air Lines;SMF;Sacramento; CA: Sacramento International;92;0;4;;;;;;;;;;;;;;;
NK;Spirit Air Lines;STT;Charlotte Amalie; VI: Cyril E King;45;0;2;;;;;;;;;;;;;;;
NK;Spirit Air Lines;STX;Christiansted; VI: Henry E. Rohlsen;14;0;0;;;;;;;;;;;;;;;
NK;Spirit Air Lines;TPA;Tampa; FL: Tampa International;782;0;32;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;ABE;Allentown/Bethlehem/Easton; PA: Lehigh Valley International;86;0;7;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;AGS;Augusta; GA: Augusta Regional at Bush Field;123;0;6;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;ALB;Albany; NY: Albany International;67;0;7;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;80;0;44878;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;AVL;Asheville; NC: Asheville Regional;218;6;30;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;AVP;Scranton/Wilkes-Barre; PA: Wilkes Barre Scranton International;113;0;44853;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;BDL;Hartford; CT: Bradley International;106;0;44860;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;BGR;Bangor; ME: Bangor International;73;0;10;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;325;0;38;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;BNA;Nashville; TN: Nashville International;70;0;44594;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;BOS;Boston; MA: Logan International;6;0;0;;;;;;;;;;;;;;;
OH;PSA Airlines Inc.;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;83;0;5;;;;;;;;;;;;;;;
